sampleOverall,sampleIndiv,GC,normcov
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,29,1.095714
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,30,1.085120
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,31,1.078031
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,32,1.076972
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,33,1.078204
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,34,1.077562
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,35,1.082448
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,36,1.085419
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,37,1.083176
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,38,1.082932
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,39,1.079191
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,40,1.066486
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,41,1.048133
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,42,1.031132
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,43,1.003147
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,44,0.970886
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,45,0.947340
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,46,0.921578
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,47,0.900953
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,48,0.884927
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,49,0.869098
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,50,0.855426
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,51,0.842727
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,52,0.831193
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,53,0.820807
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,54,0.812863
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,55,0.803997
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,56,0.794121
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,57,0.784411
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,58,0.772036
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,59,0.759844
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,60,0.747010
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,61,0.734710
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,62,0.719115
HiSeq2500_LAB02_Son_REP02,HiSeq2500_LAB02_Son_REP02,63,0.704370
